featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Populated place,Demba,Congo (Kinshasa),Congo (Kinshasa),-5.50960040398,22.2599743232,22263,11754
Populated place,Ilebo,Congo (Kinshasa),Congo (Kinshasa),-4.31959552116,20.6099975166,107093,35158
Populated place,Moanda,Congo (Kinshasa),Congo (Kinshasa),-5.92290850945,12.3549975165,153915,153915
Populated place,Kimpese,Congo (Kinshasa),Congo (Kinshasa),-5.54959796257,14.4333202705,10578,10578
Populated place,Kasangulu,Congo (Kinshasa),Congo (Kinshasa),-4.57957965202,15.1799930406,27961,17329
Populated place,Mbanza-Ngungu,Congo (Kinshasa),Congo (Kinshasa),-5.24961627312,14.8600125719,197545,86356
Populated place,Tshela,Congo (Kinshasa),Congo (Kinshasa),-4.96958168653,12.9300011787,38845,947
Populated place,Mwenga,Congo (Kinshasa),Congo (Kinshasa),-3.03822670605,28.4325174548,2216,2216
Populated place,Kampene,Congo (Kinshasa),Congo (Kinshasa),-3.5995361136,26.670041055,37034,2405
Populated place,Kalima,Congo (Kinshasa),Congo (Kinshasa),-2.5095768037,26.430004027,194,194
Populated place,Lubutu,Congo (Kinshasa),Congo (Kinshasa),-0.73288938508,26.5833280016,1313,1313
Populated place,Kabinda,Congo (Kinshasa),Congo (Kinshasa),-6.12961423861,24.4799938545,59004,15728
Populated place,Lubao,Congo (Kinshasa),Congo (Kinshasa),-5.38955605176,25.7499938545,43068,9217
Populated place,Lusambo,Congo (Kinshasa),Congo (Kinshasa),-4.96958168653,23.4300321032,41416,12190
Populated place,Gandajika,Congo (Kinshasa),Congo (Kinshasa),-6.73960284539,23.9600255928,154425,57114
Populated place,Lodja,Congo (Kinshasa),Congo (Kinshasa),-3.48962034212,23.4200068753,68244,68244
Populated place,Dilolo,Congo (Kinshasa),Congo (Kinshasa),-10.6996195283,22.3333031806,7854,7854
Populated place,Nyunzu,Congo (Kinshasa),Congo (Kinshasa),-5.94957354851,28.0166772041,15397,15397
Populated place,Kasaji,Congo (Kinshasa),Congo (Kinshasa),-10.3662031872,23.449979206,11969,11969
Populated place,Luanza,Congo (Kinshasa),Congo (Kinshasa),-8.69958656935,28.6999946683,861,861
Populated place,Moba,Congo (Kinshasa),Congo (Kinshasa),-7.05958331414,29.7199840889,10006,10006
Populated place,Bukama,Congo (Kinshasa),Congo (Kinshasa),-9.20958127964,25.8400141995,38770,3031
Admin-1 capital,Kaniama,Congo (Kinshasa),Congo (Kinshasa),-7.56962970086,24.1700386136,36481,29412
Populated place,Kipushi,Congo (Kinshasa),Congo (Kinshasa),-11.7596065075,27.2500056546,113347,62332
Populated place,Kambove,Congo (Kinshasa),Congo (Kinshasa),-10.8695833142,26.6000194893,36702,1167
Populated place,Kongolo,Congo (Kinshasa),Congo (Kinshasa),-5.37947914747,26.9799962959,105202,31943
Populated place,Kabalo,Congo (Kinshasa),Congo (Kinshasa),-6.04961912143,26.9100264066,29833,13869
Populated place,Beni,Congo (Kinshasa),Congo (Kinshasa),0.49044679657,29.4500264066,332903,89648
Populated place,Bansang,"Gambia, The",The Gambia,13.433636087,-14.6500207941,7615,1678
Admin-1 capital,Brikama,"Gambia, The",The Gambia,13.2803637888,-16.6599497899,195136,77700
Admin-1 capital,Tamale,Ghana,Ghana,9.40041973768,-0.83998519022,360579,325163
Populated place,Yendi,Ghana,Ghana,9.4337251983,-0.01665043273,42972,18711
Admin-1 capital,Bolgatanga,Ghana,Ghana,10.7903865753,-0.84998457987,82177,54430
Populated place,Bawku,Ghana,Ghana,11.060395934,-0.2399959731,73594,56830
Admin-1 capital,Wa,Ghana,Ghana,10.0604052927,-2.50001306295,78107,75676
Populated place,Obuasi,Ghana,Ghana,6.19040895479,-1.65998681783,180117,137856
Populated place,Berekum,Ghana,Ghana,7.45038372693,-2.59000756978,46287,26682
Populated place,Winneba,Ghana,Ghana,5.35043438611,-0.63004968403,44254,39568
Admin-1 capital,Cape Coast,Ghana,Ghana,5.11037151989,-1.24998600402,143015,135516
Populated place,Nkawkaw,Ghana,Ghana,6.55046449679,-0.78001469055,62667,47162
Admin-1 capital,Koforidua,Ghana,Ghana,6.09041505831,-0.26002059061,156653,96266
Populated place,Tema,Ghana,Ghana,5.64036500948,0.01001460633,209000,160939
Admin-1 capital,Ho,Ghana,Ghana,6.6004097686,0.46998653016,93044,69998
Populated place,Ewo,Congo (Brazzaville),Congo (Brazzaville),-0.87959877635,14.8200150133,10650,4923
Populated place,Mekambo,Gabon,Gabon,1.01708131805,13.9332991116,3170,3170
Admin-1 capital,Makokou,Gabon,Gabon,0.56708294566,12.8665941962,17070,13571
Populated place,Mitzik,Gabon,Gabon,0.78371054982,11.5666218655,4111,3886
Populated place,Bitam,Gabon,Gabon,2.08365704234,11.4833711331,17637,10297
Admin-1 capital,Lambarene,Gabon,Gabon,-0.69960976268,10.2166267483,25310,20714
Populated place,Bifoum,Gabon,Gabon,-0.33291379914,10.383231566,134,134
Populated place,Ndende,Gabon,Gabon,-2.38291786816,11.3832738837,6200,2002
Admin-1 capital,Mouila,Gabon,Gabon,-1.86615354524,11.016681273,28000,22469
Populated place,Omboue,Gabon,Gabon,-1.56622353222,9.24996740585,1667,1667
Populated place,Moanda,Gabon,Gabon,-1.56550006216,13.2000105374,30151,27115
Populated place,Okandja,Gabon,Gabon,-0.68291827505,13.7833341051,7155,7155
Admin-1 capital,Koulamoutou,Gabon,Gabon,-1.13291664745,12.4833100979,16222,12465
Admin-1 capital,Impfondo,Congo (Brazzaville),Congo (Brazzaville),1.64037660614,18.0400251858,20859,20859
Populated place,Sembe,Congo (Brazzaville),Congo (Brazzaville),1.64037660614,14.5800296617,9679,3113
Populated place,Moloundou,Congo (Brazzaville),Congo (Brazzaville),2.03373760875,15.2166833076,12244,12244
Populated place,Debre Birhan,Ethiopia,Ethiopia,9.68037680963,39.5300312894,65231,57787
Populated place,Bati,Ethiopia,Ethiopia,11.1837475779,40.0165648995,19260,6393
