featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Admin-1 capital,Surat Thani,Thailand,Thailand,9.15009909966,99.3401273183,157627,127201
Admin-1 capital,Chiang Mai,Thailand,Thailand,18.7999751983,98.9800459381,397211,200952
Admin-1 capital,Nakhon Ratchasima,Thailand,Thailand,15.0000262644,102.100010538,334984,208781
Admin-0 capital,Mbabane,Swaziland,Swaziland,-26.3166507784,31.1333345121,90138,76218
Admin-1 capital,Piura,Peru,Peru,-5.21003212598,-80.6299727801,396932,325466
Admin-1 capital,Arequipa,Peru,Peru,-16.4199938773,-71.5300114356,815000,736570
Populated place,Chimbote,Peru,Peru,-9.07000323602,-78.5699951596,349846,316966
Admin-1 capital,Pucallpa,Peru,Peru,-8.36890907912,-74.5349959734,310750,299084
Admin-1 capital,Iquitos,Peru,Peru,-3.75001788444,-73.250009808,458729,437620
Admin-1 capital,Huancayo,Peru,Peru,-12.0800003877,-75.2000199806,412733,376657
Admin-1 capital,Ciudad del Este,Paraguay,Paraguay,-25.5166996065,-54.6160567643,320872,320872
Admin-0 region capital,Ponta Delgada,Portugal,Portugal,37.7483018179,-25.6665834976,61526,20056
Populated place,Vigo,Kingdom of Spain,Spain,42.2200185334,-8.72999454898,378952,292745
Populated place,Bilbao,Kingdom of Spain,Spain,43.2499815054,-2.92998681783,875552,353187
Admin-1 capital,Kaolack,Senegal,Senegal,14.1499747914,-16.1000098078,277812,277812
Admin-1 capital,Kaedi,Senegal,Senegal,16.1500077504,-13.4999876317,21656,21656
Populated place,Geneina,Sudan,Sudan,13.450017516,22.4400150133,162981,159310
Admin-1 capital,Medina,Saudi Arabia,Saudi Arabia,24.499989033,39.5800023995,1010000,1010000
Admin-1 capital,Tabuk,Saudi Arabia,Saudi Arabia,28.3838346548,36.554967406,547957,455450
Admin-0 capital,Juba,South Sudan,South Sudan,4.82997519828,31.5800255928,111975,111975
Admin-1 region capital,Malakal,South Sudan,South Sudan,9.53689719537,31.6559899483,160765,160765
Admin-1 capital,Omdurman,Sudan,Sudan,15.6166811309,32.4800223376,2395159,2183698
Populated place,El Obeid,Sudan,Sudan,13.1832896107,30.2166979561,393311,269424
Admin-0 capital alt,The Hague,Kingdom of the Netherlands,Netherlands,52.080036844,4.26996130231,1406000,501725
Admin-1 capital,Kristiansand,Kingdom of Norway,Norway,58.1666420686,8.00001786157,63814,52770
Admin-0 capital,Ljubljana,Slovenia,Slovenia,46.0552883088,14.5149690335,314807,255115
Admin-0 capital,Bratislava,Slovakia,Slovakia,48.15001833,17.1169807522,423737,373687
Populated place,Hammerfest,Kingdom of Norway,Norway,70.6612799267,23.6880008532,10000,9934
Admin-0 capital,Doha,Qatar,Qatar,25.2865560089,51.5329678943,1450000,731310
Admin-1 capital,Quetta,Pakistan,Pakistan,30.2200016469,67.0249938546,768000,733675
Populated place,Larkana,Pakistan,Pakistan,27.5617659699,68.2067821847,364033,364033
Populated place,Springbok,South Africa,South Africa,-29.666730531,17.8832905667,10438,2809
Populated place,Upington,South Africa,South Africa,-28.4600341606,21.2300113512,71373,52799
Populated place,Worcester,South Africa,South Africa,-33.6400280571,19.4399397366,127597,90803
Populated place,George,South Africa,South Africa,-33.9500349744,22.4500402412,174582,113248
Admin-1 capital,Tete,Mozambique,Mozambique,-16.1700349743,33.5800068753,129316,115050
Admin-1 capital,Pemba,Mozambique,Mozambique,-12.983046042,40.5323473702,110643,108737
Admin-1 capital,Nampula,Mozambique,Mozambique,-15.1360412406,39.2930431709,388526,383845
Populated place,Welkom,South Africa,South Africa,-27.9699865532,26.7299857165,431944,126079
Admin-1 capital,Xai-Xai,Mozambique,Mozambique,-25.0399845186,33.6400032132,128805,127366
Admin-1 capital,Goroka,Papua New Guinea,Papua New Guinea,-6.08331215528,145.385482136,39699,18503
Admin-1 capital,Mt. Hagen,Papua New Guinea,Papua New Guinea,-5.86322223015,144.21681962,59064,33623
Admin-1 capital,Rabaul,Papua New Guinea,Papua New Guinea,-4.20549038525,152.143430725,8074,3714
Admin-1 capital,Lae,Papua New Guinea,Papua New Guinea,-6.73298826205,146.990035359,131052,76255
Admin-1 capital,David,Panama,Panama,8.43332114556,-82.4333252377,110037,82859
Admin-1 capital,Oujda,Morocco,Morocco,34.6900130402,-1.90997155904,409391,405253
Populated place,Safi,Morocco,Morocco,32.319976826,-9.23998925926,353476,288163
Admin-0 capital,Podgorica,Montenegro,Montenegro,42.4659725129,19.2663069241,145850,136473
Admin-1 capital,Quelimane,Mozambique,Mozambique,-17.8800081189,36.8899857165,188964,169101
Populated place,East London,South Africa,South Africa,-32.9700431124,27.8700194893,338627,338627
Populated place,Middelburg,South Africa,South Africa,-31.500003643,25.0099873441,18164,3764
Admin-1 capital,Naltchik,Russia,Russia,43.498105895,43.6179471423,307866,272800
Admin-1 capital,Stavropol,Russia,Russia,45.0500008332,41.9800109444,363064,338527
Populated place,Ugolnye Kopi,Russia,Russia,64.733295511,177.699995483,3367,3367
Admin-1 capital,Kaliningrad,Russia,Russia,54.700006123,20.4973428942,434954,371499
Admin-1 capital,Pskov,Russia,Russia,57.8299959504,28.3299397367,201990,177969
Admin-1 capital,Bryansk,Russia,Russia,53.2599906607,34.4299808337,427236,425784
Admin-1 capital,Smolensk,Russia,Russia,54.7826884146,32.04733557,320991,302918
Admin-1 capital,Petrozavodsk,Russia,Russia,61.8499831331,34.2800158272,265025,231676
Admin-1 capital,Tver,Russia,Russia,56.8599776399,35.8899950752,400212,363874
Admin-1 capital,Vologda,Russia,Russia,59.2099892366,39.9199816475,294889,208495
Admin-1 capital,Yaroslavl,Russia,Russia,57.6199829296,39.8700105375,606730,535578
Admin-1 capital,Rostov,Russia,Russia,47.2346478466,39.7126558012,1052000,1013134
Populated place,Sochi,Russia,Russia,43.5900124299,39.729967406,327608,325670
Admin-1 capital,Krasnodar,Russia,Russia,45.019976826,39.0000377998,649851,552532
Admin-1 capital,Penza,Russia,Russia,53.1800213817,44.9999816475,512602,471284
Admin-1 capital,Ryazan,Russia,Russia,54.6199593293,39.7199938545,520173,484573
Admin-1 capital,Voronezh,Russia,Russia,51.7299806916,39.2699954821,844000,295469
Populated place,Magnitogorsk,Russia,Russia,53.4226939078,58.9800068754,413351,204098
Admin-1 capital,Chelyabinsk,Russia,Russia,55.1549912711,61.438668171,1091000,946604
Populated place,Vorkuta,Russia,Russia,67.5000000195,64.009984089,80039,62484
Admin-1 capital,Kirov,Russia,Russia,58.5900529166,49.6699808337,457437,457383
Populated place,Nizhny Tagil,Russia,Russia,57.9200162955,59.9749849028,381116,367571
Admin-1 capital,Astrakhan,Russia,Russia,46.3486554149,48.0549889718,502533,484194
Admin-1 capital,Orenburg,Russia,Russia,51.7799776399,55.1100105375,550204,511437
Admin-1 capital,Saratov,Russia,Russia,51.5799898469,46.029996296,843000,786173
Admin-1 capital,Ulyanovsk,Russia,Russia,54.3299770295,48.4100060616,640680,502427
Admin-1 capital,Omsk,Russia,Russia,54.9899884228,73.3999535715,1135000,1043403
Admin-1 capital,Tyumen,Russia,Russia,57.1400122265,65.5299946684,519119,402785
Populated place,Novokuznetsk,Russia,Russia,53.7500124299,87.1149820546,539616,521035
Admin-1 capital,Kemerovo,Russia,Russia,55.3399670605,86.0899800201,477090,464279
Admin-1 capital,Groznyy,Russia,Russia,43.3186853221,45.6986986885,226100,216375
Admin-1 capital,Kandy,Sri Lanka,Sri Lanka,7.27998069145,80.670000772,111701,111701
Admin-0 capital alt,Sri Jawewardenepura Kotte,Sri Lanka,Sri Lanka,6.90000388481,79.9499930409,115826,115826
Admin-1 capital,Daejeon,"Korea, South",South Korea,36.3355456737,127.425028035,1468000,1448330
Admin-1 capital,Gwangju,"Korea, South",South Korea,35.1709655955,126.910434122,1440000,1416938
Admin-1 capital,Busan,"Korea, South",South Korea,35.0950529165,129.010047566,3480000,3480000
